permno,date,ret,prc,ticker,cumulative_return
87055,2020-01-31,0.039466,305.51999,COST,0.039466
87055,2020-02-28,-0.077671,281.14001,COST,-0.04127036368600001
87055,2020-03-31,0.014192,285.13,COST,-0.027664072687431762
87055,2020-04-30,0.065128,303.0,COST,0.035662221586581166
87055,2020-05-29,0.018053,308.47,COST,0.05435903167288392
87055,2020-06-30,-0.017052,303.20999,COST,0.036380101464797976
87055,2020-07-31,0.075921,325.53,COST,0.11506311514810674
87055,2020-08-31,0.067982,347.66,COST,0.19086733584210536
87055,2020-09-30,0.021113,355.0,COST,0.2160101179037397
87055,2020-10-30,0.009352,357.62,COST,0.22738224452637557
87055,2020-11-30,0.095492,391.76999,COST,0.34458742982068813
87055,2020-12-31,-0.012737,376.78,COST,0.327461419727062
87055,2021-01-29,-0.064627,352.42999,COST,0.24167157055436128
87055,2021-02-26,-0.05882,331.0,COST,0.1686364487743537
87055,2021-03-31,0.064894,352.48001,COST,0.24447394248111665
87055,2021-04-30,0.057876,372.09,COST,0.3164991163761539
87055,2021-05-28,0.016609,378.26999,COST,0.3383648502000456
87055,2021-06-30,0.045999,395.67001,COST,0.3999282949443974
87055,2021-07-30,0.088053,429.72,COST,0.5231961810991363
87055,2021-08-31,0.059969,455.48999,COST,0.6145407328834704
87055,2021-09-30,-0.01348,449.35001,COST,0.5927767238042012
87055,2021-10-29,0.095649,491.54001,COST,0.7451242246593495
87055,2021-11-30,0.097327,539.38,COST,0.9149719300727699
87055,2021-12-31,0.052505,567.70001,COST,1.0155175312612408
87055,2022-01-31,-0.110217,505.13,COST,0.7933732355182206
87055,2022-02-28,0.029517,519.25,COST,0.8463082333110119
87055,2022-03-31,0.109003,575.84998,COST,1.047561369666612
87055,2022-04-29,-0.075072,531.71997,COST,0.893846842523
87055,2022-05-31,-0.123185,466.22,COST,0.6605533192268043
87055,2022-06-30,0.028013,479.28,COST,0.707070399358305
87055,2022-07-29,0.13128,541.29999,COST,0.9311746013860633
87055,2022-08-31,-0.03547,522.09998,COST,0.8626758382748996
87055,2022-09-30,-0.095442,472.26999,COST,0.6848983309182666
87055,2022-10-31,0.063798,501.5,COST,0.7923914746341902
87055,2022-11-30,0.075274,539.25,COST,0.9273119504958043
87055,2022-12-30,-0.153454,456.5,COST,0.6315582224444212
87055,2023-01-31,0.119693,511.14001,COST,0.8268443207634613
87055,2023-02-28,-0.050984,484.17999,COST,0.7337044899136569
87055,2023-03-31,0.026209,496.87,COST,0.7791431508898039
87055,2023-04-28,0.01278,503.22,COST,0.8018806003581755
87055,2023-05-31,0.0186,511.56,COST,0.8353955795248376
87055,2023-06-30,0.052428,538.38,COST,0.9316216989681656
87055,2023-07-31,0.041402,560.66998,COST,1.0115947005488453
87055,2023-08-31,-0.018496,549.28003,COST,0.9743882449674939
87055,2023-09-29,0.028546,564.96002,COST,1.030749131808336
87055,2023-10-31,-0.022161,552.44,COST,0.9857457002983314
87055,2023-11-30,0.074795,592.73999,COST,1.134269549952145
87055,2023-12-29,0.138914,660.08002,COST,1.430749470214197
87055,2024-01-31,0.052721,694.88,COST,1.5589010130333598
87055,2024-02-29,0.071998,743.89001,COST,1.7431367681697356
87055,2024-03-28,-0.015137,732.63,COST,1.7016139069099503
87055,2024-04-30,-0.011698,722.90002,COST,1.6700104274269179
87055,2024-05-31,0.120335,809.89001,COST,1.9913061322113363
87055,2024-06-28,0.049513,849.98999,COST,2.139414672735516
87055,2024-07-31,-0.031565,822.0,COST,2.0403190485906197
87055,2024-08-30,0.08562,892.38,COST,2.3006311655309486
87055,2024-09-30,-0.006567,886.52002,COST,2.278955920666907
87055,2024-10-31,-0.01392,874.17999,COST,2.2333128542512237
87055,2024-11-29,0.113089,971.88,COST,2.5989649716256404
87055,2024-12-31,-0.057219,916.27002,COST,2.393035794914193
81481,2020-01-31,-0.074216,87.07,DLTR,-0.07421600000000006
81481,2020-02-28,-0.0464,83.03,DLTR,-0.1171723776000001
81481,2020-03-31,-0.115139,73.47,DLTR,-0.21882026721551373
81481,2020-04-30,0.084388,79.67,DLTR,-0.15289807192529659
81481,2020-05-29,0.228442,97.87,DLTR,0.04061558672794474
81481,2020-06-30,-0.05303,92.68,DLTR,-0.014568257836238163
81481,2020-07-31,0.007229,93.35,DLTR,-0.007444571772136421
81481,2020-08-31,0.03128,96.27,DLTR,0.023602562022831064
81481,2020-09-30,-0.05121,91.34,DLTR,-0.028816125178358076
81481,2020-10-30,-0.011167,90.32,DLTR,-0.03966133550849138
81481,2020-11-30,0.209477,109.24,DLTR,0.16150752691319625
81481,2020-12-31,-0.010985,108.04,DLTR,0.14874836673005487
81481,2021-01-29,-0.059052,101.66,DLTR,0.08091247817791158
81481,2021-02-26,-0.034035,98.2,DLTR,0.04412362198312625
81481,2021-03-31,0.16558,114.46,DLTR,0.21700961131109242
81481,2021-04-30,0.003844,114.9,DLTR,0.2216877962569721
81481,2021-05-28,-0.151436,97.5,DLTR,0.03668028314300131
81481,2021-06-30,0.020513,99.5,DLTR,0.05794570579111369
81481,2021-07-30,0.002915,99.79,DLTR,0.061029617523494784
81481,2021-08-31,-0.092695,90.54,DLTR,-0.03732252287284554
81481,2021-09-30,0.057212,95.72,DLTR,0.0177541809485533
81481,2021-10-29,0.125784,107.76,DLTR,0.1457713728449861
81481,2021-11-30,0.241926,133.83,DLTR,0.4229632579918823
81481,2021-12-31,0.049989,140.52,DLTR,0.4940957682956386
81481,2022-01-31,-0.066183,131.22,DLTR,0.3952120280625284
81481,2022-02-28,0.082762,142.08,DLTR,0.5106825659290395
81481,2022-03-31,0.127182,160.14999,DLTR,0.7028141960290264
81481,2022-04-29,0.014362,162.45,DLTR,0.7272700135123953
81481,2022-05-31,-0.01305,160.33,DLTR,0.7047291398360584
81481,2022-06-30,-0.027942,155.85001,DLTR,0.6570955982107594
81481,2022-07-29,0.06102,165.36,DLTR,0.75821157161358
81481,2022-08-31,-0.179487,135.67999,DLTR,0.44263545125937354
81481,2022-09-30,0.003096,136.10001,DLTR,0.44710185061647256
81481,2022-10-31,0.164585,158.5,DLTR,0.6852731087001847
81481,2022-11-30,-0.051798,150.28999,DLTR,0.5979793322157325
81481,2022-12-30,-0.058886,141.44,DLTR,0.503880721258877
81481,2023-01-31,0.061793,150.17999,DLTR,0.5968100226676267
81481,2023-02-28,-0.032628,145.28,DLTR,0.5447093052480274
81481,2023-03-31,-0.011908,143.55,DLTR,0.5263149068411339
81481,2023-04-28,0.070777,153.71001,DLTR,0.634342897002629
81481,2023-05-31,-0.122503,134.88,DLTR,0.4341309890911158
81481,2023-06-30,0.063909,143.5,DLTR,0.5257848664729399
81481,2023-07-31,0.07547,154.33,DLTR,0.6409358503456526
81481,2023-08-31,-0.207154,122.36,DLTR,0.3010094252031492
81481,2023-09-29,-0.130026,106.45,DLTR,0.13184437368168456
81481,2023-10-31,0.043589,111.09,DLTR,0.18118033808609568
81481,2023-11-30,0.112521,123.59,DLTR,0.31408793090788145
81481,2023-12-29,0.149365,142.05,DLTR,0.5103666747079372
81481,2024-01-31,-0.080465,130.62,DLTR,0.388835020227563
81481,2024-02-29,0.122952,146.67999,DLTR,0.5595950636345823
81481,2024-03-28,-0.092242,133.14999,DLTR,0.41573489577480105
81481,2024-04-30,-0.111904,118.25,DLTR,0.2573084979980178
81481,2024-05-31,-0.002537,117.95,DLTR,0.2541187063385968
81481,2024-06-28,-0.094786,106.77,DLTR,0.1352458106395864
81481,2024-07-31,-0.022759,104.34,DLTR,0.10940875123524019
81481,2024-08-30,-0.190243,84.49,DLTR,-0.10164849782600549
81481,2024-09-30,-0.167712,70.32,DLTR,-0.2523128249586104
81481,2024-10-31,-0.080774,64.64,DLTR,-0.31270650883540363
81481,2024-11-29,0.102568,71.27,DLTR,-0.24221219003363337
81481,2024-12-31,0.051494,74.94,DLTR,-0.20319066454722534
16678,2020-01-31,-0.073474,26.86,KR,-0.07347400000000004
16678,2020-02-28,0.053239,28.13,KR,-0.024146682286000032
16678,2020-03-31,0.070743,30.12,KR,0.044888108969041385
16678,2020-04-30,0.049469,31.61,KR,0.09657767883163082
16678,2020-05-29,0.037014,32.62,KR,0.13716640503590494
16678,2020-06-30,0.037707,33.85,KR,0.1800455386705937
16678,2020-07-31,0.02777,34.79,KR,0.21281540327947623
16678,2020-08-31,0.030756,35.68,KR,0.2501167538227398
16678,2020-09-30,-0.049608,33.91,KR,0.18810096189910142
16678,2020-10-30,-0.050133,32.21,KR,0.12853789637621382
16678,2020-11-30,0.030115,33.0,KR,0.16252381512558345
16678,2020-12-31,-0.037576,31.76,KR,0.11884082024842457
16678,2021-01-29,0.086272,34.5,KR,0.21536545549289654
16678,2021-02-26,-0.061159,32.21,KR,0.1410349196004066
16678,2021-03-31,0.117355,35.99,KR,0.27494107259011247
16678,2021-04-30,0.015282,36.54,KR,0.29442472206143466
16678,2021-05-28,0.016968,36.98,KR,0.31638852074537316
16678,2021-06-30,0.035965,38.31,KR,0.36373243389398047
16678,2021-07-30,0.062386,40.7,KR,0.44881024551489035
16678,2021-08-31,0.136118,46.03,KR,0.6460193985138862
16678,2021-09-30,-0.12166,40.43,KR,0.4457646784906868
16678,2021-10-29,-0.010141,40.02,KR,0.4311031788861128
16678,2021-11-30,0.042979,41.53,KR,0.4926105624114592
